name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,m2_slots,sata_ports
MSI MAG B550 TOMAHAWK,139.99,AM4,ATX,128,4,Black / Silver,DDR4,2,4
MSI MAG B760 TOMAHAWK WIFI,164.99,LGA1700,ATX,192,4,Black,DDR4,2,4
Gigabyte B550 UD AC,119.99,AM4,ATX,128,4,Brown / Black,DDR4,2,4
Gigabyte B650M D3HP AX,139.99,AM5,Micro ATX,192,4,Black / Gray,DDR5,2,4
Asus PRIME B650M-A AX II,168.99,AM5,Micro ATX,192,4,Black / Silver,DDR5,2,4
ASRock B650I Lightning Wifi,199.99,AM5,Mini ITX,96,2,Black,DDR5,2,4
ASRock X870E Taichi,468.95,AM5,EATX,256,4,Black,DDR5,2,4
MSI MPG X870E EDGE TI WIFI,289.99,AM5,ATX,256,4,Silver / White,DDR5,2,4
ASRock Phantom Gaming X870E Nova WiFi,299.99,AM5,ATX,256,4,Black / Purple,DDR5,2,4
MSI PRO X870E-P WIFI,244.94,AM5,ATX,256,4,Black / Silver,DDR5,2,4
MSI PRO B850-P WIFI,199.99,AM5,ATX,256,4,Silver / Black,DDR5,2,4
Gigabyte B760M DS3H AX,129.99,LGA1700,Micro ATX,192,4,Black,DDR4,2,4
ASRock B850 Riptide WiFi,199.99,AM5,ATX,256,4,Black,DDR5,2,4
MSI B840 GAMING PLUS WIFI,149.99,AM5,ATX,256,4,Silver / Black,DDR5,2,4
ASRock B650M Pro RS,220.07,AM5,Micro ATX,256,4,Black / Silver,DDR5,2,4
Asus TUF GAMING A520M-PLUS WIFI,110.46,AM4,Micro ATX,128,4,Black / Orange,DDR4,2,4
ASRock B760M PG Riptide Wifi,119.99,LGA1700,Micro ATX,192,4,Black,DDR4,2,4
ASRock B650 Steel Legend WiFi,280.35,AM5,ATX,256,4,White / Silver,DDR5,2,4
Gigabyte B650 AORUS ELITE AX ICE,199.74,AM5,ATX,192,4,Silver,DDR5,2,4
MSI X670E GAMING PLUS WIFI,189.99,AM5,ATX,192,4,Silver / Black,DDR5,2,4
Gigabyte B650 AORUS ELITE AX V2,199.99,AM5,ATX,192,4,Black / Silver,DDR5,2,4
Asus ROG STRIX X870-I GAMING WIFI,448.99,AM5,Mini ITX,128,2,Black,DDR5,2,4
Asus ROG STRIX Z790-A GAMING WIFI II,590.0,LGA1700,ATX,192,4,Black / Silver,DDR4,2,4
Asus ROG ZENITH II EXTREME ALPHA,229.99,sTRX4,EATX,256,8,Black / Silver,DDR4,2,4
