name,price,type,color,side_panel,external_volume,supported_mobo_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,psu_form_factor
Asus ProArt PA602 Wood Edition,500.94,ATX Mid Tower,Black / Brown,Tempered Glass,81.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
MSI MPG VELOX 100R,139.99,ATX Mid Tower,White,Tempered Glass,53.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 6500X,124.99,ATX Mid Tower,Black / Gray,Tempered Glass,78.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech HS01 PRO,114.9,ATX Mid Tower,Black,Tempered Glass,55.3,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master Force 500,124.99,ATX Mid Tower,Black,Tempered Glass,39.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
be quiet! Shadow Base 800 DX,124.99,ATX Mid Tower,Black,Tempered Glass,70.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11D XL-X,124.99,ATX Full Tower,Black,Tempered Glass,68.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
PC Cooler I100 PRO MESH,101.69,Mini ITX Desktop,White,Mesh,7.5,Mini ITX,300,140,SFX
Silverstone MILO 11,92.77,MicroATX Desktop,Black / Silver,Tempered Glass,10.3,"Micro ATX, Mini ITX",330,155,ATX
BitFenix Nova Mesh SE,124.99,ATX Mid Tower,Black,Tempered Glass,36.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Silverstone SG13 V2,74.13,Mini ITX Tower,Black,Tempered Glass,11.5,Mini ITX,300,140,SFX
Zalman Z7 NEO,69.98,ATX Mid Tower,Black,Tempered Glass,41.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H210,124.99,Mini ITX Tower,Black,Tempered Glass,27.3,Mini ITX,300,140,SFX
HYTE Hoshimachi Suisei Y70,124.99,ATX Mid Tower,Blue / Black,Tempered Glass,70.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
Antec CX800 Wood ARGB,124.99,ATX Mid Tower,Black / Brown,Tempered Glass,51.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
iBuypower Slate 9 Mesh,124.99,ATX Mid Tower,Black,Tempered Glass,53.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks ECLIPSE G500A DRGB,124.99,ATX Mid Tower,Black,Tempered Glass,61.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
KRUX Leda,124.99,ATX Mid Tower,Black,Tempered Glass,43.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
ENDORFY Ventum 200,93.74,ATX Mid Tower,Black,Tempered Glass,34.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks XT PRO,119.98,ATX Mid Tower,Black,Tempered Glass,51.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
