name,price,capacity,price_per_gb,type,cache,form_factor,interface
Gigabyte AORUS Gen4 7300,147.99,2000.0,0.074,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P310,49.98,500.0,0.1,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,69.98,500.0,0.14,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,315.31,16000.0,0.02,HDD,256.0,3.5,SATA 6.0 Gb/s
Crucial T700,139.99,1000.0,0.14,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 9100 PRO w/Heatsink,126.97,8000.0,0.087,SSD,8192.0,M.2-2280,M.2 PCIe 5.0 X4
ADATA LEGEND 860,77.49,1000.0,0.077,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD Blue SN5000,230.39,4000.0,0.058,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 850 Evo,126.97,500.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Lexar NM620,39.99,512.0,0.078,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power US75,109.97,2000.0,0.055,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MG04ACA600E,150.0,6000.0,0.025,HDD,128.0,3.5,SATA 6.0 Gb/s
Corsair MP700 PRO SE,549.99,4000.0,0.137,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD_BLACK,265.0,10000.0,0.026,HDD,512.0,3.5,SATA 6.0 Gb/s
TEAMGROUP MS30,30.99,512.0,0.061,SSD,128.0,M.2-2280,M.2 SATA
Western Digital Black SN750,119.0,1000.0,0.119,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Patriot P320,32.99,512.0,0.064,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 CORE XT,69.98,1000.0,0.07,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SA510,115.19,2000.0,0.058,SSD,128.0,2.5,SATA 6.0 Gb/s
Patriot P400 Lite,35.99,500.0,0.072,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X20,349.99,20000.0,0.017,HDD,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,31.99,512.0,0.062,SSD,128.0,2.5,SATA 6.0 Gb/s
TEAMGROUP MP44Q,59.99,1000.0,0.06,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot P210,18.98,256.0,0.074,SSD,128.0,2.5,SATA 6.0 Gb/s
Crucial MX500,126.97,2000.0,0.087,SSD,2048.0,2.5,SATA 6.0 Gb/s
Patriot P320,52.99,1000.0,0.053,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD Blue SN5000,44.75,500.0,0.089,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston FURY Renegade G5,242.31,2048.0,0.118,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD_Black SN850X w/Heatsink,103.0,1000.0,0.103,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,126.97,500.0,0.087,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,269.99,12000.0,0.022,HDD,256.0,3.5,SATA 6.0 Gb/s
Silicon Power UD85,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Timetec 35TTFP6PCIE,52.99,1000.0,0.053,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
